post_id,member_id,group_id,timestamp,post_type,content
1001,12,104,2024-07-24T05:54:00,comment,Please pray for my family.
1002,13,101,2024-05-19T08:36:00,prayer_request,Please pray for my family.
1003,16,103,2024-09-20T13:58:00,message,Liked previous post.
1004,15,102,2024-04-02T17:03:00,comment,Attended the session.
1005,7,101,2024-10-09T22:16:00,like,Attended the session.
1006,5,105,2024-10-22T22:16:00,announcement,Please pray for my family.
1007,16,101,2024-02-02T14:11:00,message,Loved this!
1008,20,105,2024-06-29T03:50:00,event_attendance,Attended the session.
1009,11,103,2024-02-08T02:13:00,message,Liked previous post.
1010,14,101,2024-04-16T17:46:00,comment,Loved this!
1011,4,101,2024-03-15T01:04:00,event_attendance,Important announcement coming soon.
1012,8,103,2024-05-23T08:16:00,comment,Important announcement coming soon.
1013,13,104,2024-03-12T03:13:00,like,Loved this!
1014,14,101,2024-01-05T04:21:00,prayer_request,Great meeting today!
1015,17,101,2024-06-05T17:44:00,message,Great meeting today!
1016,12,102,2024-03-08T23:07:00,comment,Loved this!
1017,7,105,2024-09-27T19:39:00,like,Loved this!
1018,5,103,2024-06-03T02:23:00,like,Loved this!
1019,18,102,2024-08-08T10:18:00,message,Important announcement coming soon.
1020,10,104,2024-05-26T13:14:00,comment,Loved this!
1021,16,104,2024-01-21T09:59:00,like,Loved this!
1022,14,102,2024-09-13T05:46:00,comment,Great meeting today!
1023,11,101,2024-05-02T00:06:00,comment,Great meeting today!
1024,16,101,2024-08-19T16:38:00,announcement,Liked previous post.
1025,9,104,2024-02-25T15:46:00,announcement,Attended the session.
1026,3,102,2024-01-01T17:53:00,comment,Great meeting today!
1027,4,105,2024-01-28T02:07:00,comment,Important announcement coming soon.
1028,5,102,2024-01-22T07:35:00,announcement,Important announcement coming soon.
1029,20,103,2024-06-30T05:47:00,message,Loved this!
1030,17,103,2024-08-11T03:03:00,like,Important announcement coming soon.
1031,13,102,2024-04-09T19:29:00,announcement,Please pray for my family.
1032,17,103,2024-10-17T17:11:00,event_attendance,Attended the session.
1033,1,104,2024-02-20T18:24:00,announcement,Loved this!
1034,20,102,2024-08-11T00:24:00,message,Liked previous post.
1035,1,102,2024-09-24T12:28:00,comment,Please pray for my family.
1036,7,102,2024-10-03T22:39:00,comment,Loved this!
1037,11,103,2024-06-04T20:12:00,comment,Please pray for my family.
1038,1,105,2024-07-21T19:30:00,message,Please pray for my family.
1039,14,101,2024-08-23T00:17:00,like,Please pray for my family.
1040,2,104,2024-10-04T05:00:00,event_attendance,Attended the session.
1041,17,101,2024-04-29T07:09:00,like,Please pray for my family.
1042,10,105,2024-07-03T16:41:00,prayer_request,Attended the session.
1043,7,105,2024-04-18T09:58:00,event_attendance,Loved this!
1044,13,104,2024-08-28T02:39:00,comment,Great meeting today!
1045,8,101,2024-05-08T17:46:00,message,Loved this!
1046,20,103,2024-08-10T01:35:00,like,Liked previous post.
1047,12,104,2024-01-19T02:34:00,message,Liked previous post.
1048,16,104,2024-07-26T12:44:00,like,Liked previous post.
1049,18,103,2024-07-14T18:40:00,announcement,Great meeting today!
1050,9,105,2024-08-25T15:40:00,event_attendance,Attended the session.
1051,4,102,2024-05-03T10:26:00,comment,Please pray for my family.
1052,12,105,2024-09-02T10:10:00,announcement,Please pray for my family.
1053,3,104,2024-04-14T20:38:00,event_attendance,Liked previous post.
1054,5,104,2024-01-23T14:59:00,message,Liked previous post.
1055,18,105,2024-09-22T02:54:00,prayer_request,Loved this!
1056,2,105,2024-03-15T07:53:00,event_attendance,Loved this!
1057,11,101,2024-08-23T20:11:00,comment,Attended the session.
1058,9,104,2024-09-08T16:24:00,event_attendance,Great meeting today!
1059,9,104,2024-08-05T18:40:00,announcement,Important announcement coming soon.
1060,1,102,2024-10-22T02:45:00,announcement,Great meeting today!
1061,6,101,2024-08-31T17:32:00,message,Loved this!
1062,10,103,2024-09-06T03:14:00,like,Please pray for my family.
1063,5,101,2024-03-19T09:06:00,announcement,Important announcement coming soon.
1064,17,103,2024-02-05T22:20:00,event_attendance,Loved this!
1065,3,103,2024-02-29T00:10:00,comment,Great meeting today!
1066,10,105,2024-05-12T18:11:00,event_attendance,Please pray for my family.
1067,4,103,2024-10-23T13:19:00,like,Important announcement coming soon.
1068,1,102,2024-01-14T15:08:00,announcement,Important announcement coming soon.
1069,14,104,2024-10-19T09:01:00,announcement,Great meeting today!
1070,5,103,2024-01-29T23:43:00,message,Please pray for my family.
1071,6,103,2024-04-03T04:15:00,comment,Loved this!
1072,7,105,2024-08-15T12:16:00,announcement,Important announcement coming soon.
1073,16,104,2024-07-05T20:47:00,like,Important announcement coming soon.
1074,8,105,2024-08-09T07:54:00,event_attendance,Attended the session.
1075,7,105,2024-10-10T10:14:00,prayer_request,Great meeting today!
1076,11,103,2024-09-22T07:33:00,comment,Attended the session.
1077,16,103,2024-01-30T05:32:00,event_attendance,Great meeting today!
1078,20,104,2024-10-06T14:47:00,event_attendance,Please pray for my family.
1079,1,105,2024-01-06T11:30:00,like,Please pray for my family.
1080,11,104,2024-07-12T09:57:00,event_attendance,Attended the session.
1081,5,105,2024-10-12T18:07:00,announcement,Important announcement coming soon.
1082,8,102,2024-06-29T09:17:00,event_attendance,Great meeting today!
1083,15,101,2024-04-03T19:50:00,comment,Please pray for my family.
1084,11,101,2024-01-15T01:37:00,like,Great meeting today!
1085,4,102,2024-06-06T21:53:00,prayer_request,Important announcement coming soon.
1086,12,101,2024-07-21T14:03:00,comment,Please pray for my family.
1087,20,101,2024-04-22T04:41:00,like,Liked previous post.
1088,19,102,2024-10-04T05:55:00,comment,Great meeting today!
1089,12,102,2024-03-04T02:17:00,like,Please pray for my family.
1090,18,105,2024-05-16T02:06:00,announcement,Great meeting today!
1091,13,102,2024-03-18T14:17:00,prayer_request,Liked previous post.
1092,4,101,2024-09-05T08:43:00,like,Great meeting today!
1093,19,103,2024-07-23T13:26:00,event_attendance,Important announcement coming soon.
1094,19,101,2024-01-09T13:53:00,announcement,Liked previous post.
1095,15,103,2024-05-26T14:08:00,announcement,Loved this!
1096,17,101,2024-09-11T04:38:00,event_attendance,Important announcement coming soon.
1097,3,104,2024-02-22T13:33:00,message,Loved this!
1098,10,105,2024-10-08T22:35:00,announcement,Attended the session.
1099,9,105,2024-08-01T12:18:00,like,Liked previous post.
1100,12,105,2024-04-01T11:47:00,message,Liked previous post.
1101,2,105,2024-10-23T22:31:00,message,Please pray for my family.
1102,12,104,2024-09-24T17:14:00,announcement,Liked previous post.
1103,13,101,2024-07-02T15:49:00,comment,Attended the session.
1104,14,104,2024-10-17T05:34:00,message,Loved this!
1105,6,105,2024-08-27T05:06:00,announcement,Important announcement coming soon.
1106,20,101,2024-10-07T00:14:00,like,Great meeting today!
1107,6,104,2024-08-15T01:19:00,prayer_request,Loved this!
1108,17,105,2024-08-02T23:55:00,event_attendance,Liked previous post.
1109,17,101,2024-08-15T12:30:00,prayer_request,Attended the session.
1110,15,101,2024-08-05T10:45:00,prayer_request,Great meeting today!
1111,17,105,2024-04-03T21:18:00,event_attendance,Loved this!
1112,4,105,2024-07-04T13:31:00,announcement,Important announcement coming soon.
1113,17,101,2024-02-03T00:19:00,announcement,Liked previous post.
1114,13,103,2024-06-01T03:55:00,like,Important announcement coming soon.
1115,2,101,2024-03-08T07:55:00,like,Important announcement coming soon.
1116,3,103,2024-08-20T17:14:00,event_attendance,Attended the session.
1117,20,102,2024-05-05T23:48:00,announcement,Loved this!
1118,9,102,2024-05-15T11:59:00,event_attendance,Great meeting today!
1119,11,101,2024-02-06T22:17:00,prayer_request,Liked previous post.
1120,6,101,2024-07-23T22:55:00,prayer_request,Attended the session.
1121,10,102,2024-10-06T02:00:00,announcement,Please pray for my family.
1122,16,104,2024-06-21T18:07:00,prayer_request,Please pray for my family.
1123,15,104,2024-05-04T05:11:00,event_attendance,Attended the session.
1124,1,101,2024-10-20T04:29:00,event_attendance,Important announcement coming soon.
1125,4,103,2024-06-03T02:40:00,message,Please pray for my family.
1126,20,101,2024-10-16T20:10:00,event_attendance,Loved this!
1127,10,102,2024-06-02T14:37:00,prayer_request,Loved this!
1128,11,105,2024-02-01T19:10:00,comment,Attended the session.
1129,13,105,2024-03-17T17:57:00,message,Loved this!
1130,10,105,2024-10-26T14:37:00,event_attendance,Important announcement coming soon.
1131,5,101,2024-08-13T11:17:00,like,Please pray for my family.
